"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.429583332E-3,-1.535288211E0,6.583760757E0,8.670016311E0,1.099418930E1
1.348058333E-2,1.189016100E0,6.759021690E0,5.573065438E0,8.840655625E0
2.353158333E-2,2.349479077E0,2.034751525E0,-1.232680183E1,1.271260434E1
3.358258333E-2,1.066685332E0,-1.698612639E0,-2.676563900E1,2.684068803E1
4.363358333E-2,2.668468664E0,7.448148215E-1,-8.825739359E0,9.250359418E0
5.368358333E-2,3.692285720E0,2.575231302E0,2.060224335E0,4.950688276E0
6.373458333E-2,3.400301498E0,3.487617969E0,5.050053048E0,7.016307089E0
7.378558333E-2,3.320070097E0,4.930880361E0,5.389807853E0,8.024118349E0
8.383658333E-2,3.332844509E0,6.821492758E0,3.959026927E0,8.562389280E0
9.388758333E-2,4.667052237E0,8.137996870E0,1.088716471E0,9.444240213E0
1.039375833E-1,6.107037849E0,7.420373940E0,-2.078965831E0,9.832596790E0
1.139885833E-1,4.902449445E0,5.064167642E0,-3.336528840E0,7.798219615E0
1.240395833E-1,6.228413182E0,3.957000282E0,2.517898951E-1,7.383385413E0
1.340905833E-1,5.247248057E0,4.303907400E0,3.876763034E0,7.815786762E0
1.441415833E-1,8.000258104E0,5.421102735E0,5.319475204E0,1.103128737E1
1.541915833E-1,1.058074488E1,7.080363028E0,3.290189071E0,1.314948847E1
1.642425833E-1,6.645975716E0,9.561341892E0,3.665648363E-1,1.165000523E1
1.742935833E-1,4.011375587E0,9.814372548E0,7.908452725E-1,1.063195555E1
1.843445833E-1,-8.623477299E-2,8.599633961E0,4.708699615E0,9.804743381E0
1.943955833E-1,-5.294445612E0,6.066334212E0,8.991496228E0,1.206973776E1
2.044455833E-1,-7.878081703E0,3.531373853E0,8.809979943E0,1.233493086E1
2.144965833E-1,-5.410943198E0,3.746550804E0,4.141969348E0,7.776301132E0
