"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.093500003E-3,-1.562571319E0,-1.709902443E0,1.064403749E-1,2.318776627E0
1.114350000E-2,-2.490427087E0,-5.772102320E-1,3.213785259E0,4.106557490E0
2.119250000E-2,-3.320059280E0,7.355335361E-1,6.846474402E0,7.644476106E0
3.124250000E-2,-3.330904696E0,2.783701497E0,7.687988137E0,8.828877715E0
4.129250001E-2,-3.176099954E0,4.545448862E0,7.409730839E0,9.254881273E0
5.134150000E-2,-3.136309943E0,5.943281313E0,6.095625254E0,9.072798910E0
6.139150000E-2,-3.158001067E0,6.915918859E0,4.345876375E0,8.757256755E0
7.144050000E-2,-3.074977914E0,7.522212557E0,3.252305546E0,8.753094440E0
8.149050000E-2,-3.195533467E0,7.930319558E0,2.745845454E0,8.980037287E0
9.153950000E-2,-3.493946703E0,8.357711846E0,3.000108118E0,9.542518513E0
1.015895000E-1,-3.597434526E0,9.030439269E0,3.310852839E0,1.026898803E1
1.116385000E-1,-3.555588927E0,9.742629551E0,3.921692747E0,1.108786351E1
1.216885000E-1,-3.719486090E0,9.560512172E0,5.667356468E0,1.171993597E1
1.317375000E-1,-3.691620014E0,9.288587993E0,5.540954869E0,1.142839035E1
1.417875000E-1,-3.328592414E0,8.957894619E0,3.904892527E0,1.032335164E1
1.518365000E-1,-2.662671735E0,8.654467980E0,2.798598449E0,9.477435838E0
1.618865000E-1,-2.068457800E0,8.265191352E0,2.311479777E0,8.828071393E0
1.719355000E-1,-1.516024267E0,7.633813684E0,2.219771754E0,8.093258156E0
1.819855000E-1,-9.411293129E-1,6.902272042E0,2.338662313E0,7.348225986E0
1.920345000E-1,-1.988046744E-1,6.111622066E0,2.028220770E0,6.442447289E0
2.020845000E-1,8.375336815E-1,5.202327408E0,5.486802050E-1,5.297803610E0
2.121335000E-1,1.991235961E0,3.843734452E0,-2.281006427E0,4.893087524E0
2.221835000E-1,3.393968086E0,1.196480656E0,-5.914824668E0,6.923563835E0
2.322335000E-1,5.055172285E0,-3.221231688E0,-9.664921809E0,1.137285426E1
2.422825000E-1,6.300371357E0,-8.664181960E0,-1.171675364E1,1.587592656E1
2.523325000E-1,5.938225810E0,-1.313076942E1,-1.013843109E1,1.762008559E1
2.623815000E-1,2.709848240E0,-1.375397269E1,-9.400920022E0,1.687875408E1
2.724315000E-1,-8.667421317E-1,-9.545325199E0,-9.487634815E0,1.348627782E1
